pos,row,outcome
TE,Nick Vannett LAR,tier3_single
TE,Albert Okwuegbunam Jr. LV,unresolved
TE,Foster Moreau HOU,unresolved
TE,Stephen Carlson CHI,unresolved
TE,Lawrence Cager WAS,tier3_single
TE,Sean McKeon IND,tier3_single
TE,Brevin Jordan HOU,tier3_single
TE,Quintin Morris JAC,tier3_single
TE,Josh Whyle GB,unresolved
TE,Luke Lachey HOU,tier3_single
TE,Thomas Fidone II NYG,tier3_single
TE,Greg Dulcich MIA,tier3_single
TE,James Mitchell CAR,tier3_single
TE,Jack Stoll CLE,unresolved
TE,Cole Turner MIA,tier3_single
TE,Isaiah Likely NYG,unresolved
TE,Will Mallory IND,tier3_single
TE,Jelani Woods NYJ,tier3_single
TE,Erick All Jr. CIN,tier3_single
TE,Justin Shorter LV,unresolved
TE,Nikola Kalinic CHI,tier3_single
TE,Cameron Latu PHI,tier3_single
TE,Jaheim Bell PHI,tier3_single
TE,Jake Tonges SF,unresolved
TE,Zack Kuntz MIA,unresolved
TE,Ben Sims MIA,unresolved
TE,Brayden Willis SF,unresolved
TE,E.J. Jenkins PHI,tier3_single
TE,Nate Adkins DEN,tier3_single
TE,Princeton Fant DAL,tier3_single
TE,Oronde Gadsden II LAC,tier3_single
TE,Gavin Bartholomew MIN,tier3_single
TE,Jared Wiley KC,unresolved
TE,Tanner McLachlan LAC,tier3_single
TE,Cam Grandy CIN,tier3_single
TE,Brenden Bates CLE,tier3_single
TE,Devin Culp TB,unresolved
TE,Colson Yankoff WAS,tier3_single
TE,David Martin-Robinson TEN,tier3_single
TE,Caleb Lohner DEN,tier3_single
